ID,Authors,DOI,Observations,Ecosystem_type,Manipulation,Clay_percent,Clay_depth,SOC_percent,SOC_depth,SM_percent_control,SM_percent_treatment,SM_depth,Notes
1268,Billings et al. (1998),10.1139/x98-145,4,Forest,Drought,,,,,,,20,
1421,Borken et al. (1999),10.2136/sssaj1999.6361848x,1,Forest,Drought,,,,,,,10,
1421,Borken et al. (1999),10.2136/sssaj1999.6361848x,1,Forest,Irrigation,,,,,,,10,
1639,Maier et al. (2000),10.1139/x99-218,2,Forest,Irrigation,,,1.34,15,,,,
2694,Maier et al. (2004),10.1111/j.1365-2486.2004.00809.x,1,Forest,Irrigation,,,,,2.5,3.5,50,Volumetric; estimated SM from figure 1b
2809,Vasconcelos et al. (2004),10.1029/2003GB002210,2,Forest,Irrigation,20,20,2.2,10,10,22,10,Gravimetric
2952,Harper et al. (2005),10.1111/j.1365-2486.2005.00899.x,1,Grassland,Drought,,,,,31,20,15,Not a word about the soils; estimating control SM from figure 1c
3263,Borken et al. (2006),10.1111/j.1365-2486.2005.01058.x,1,Forest,Drought,,,,,,,,
3710,Zhou et al. (2006),10.1029/2005GB002526,1,Grassland,Irrigation,,,,,,,,
3730,Asensio et al. (2007),10.1016/j.atmosenv.2006.05.008,1,Forest,Drought,,,,,,,,
3978,McCulley et al. (2007),10.2136/sssaj2006.0303,4,Savanna,Irrigation,,,,,,,,
3983,Metcalfe et al. (2007),10.1029/2007JG000443,2,Forest,Drought,,,,,,,,
4051,Risch et al. (2007),10.1007/s10533-007-9148-5,5,Grassland,Irrigation,,,,,,,,
4085,Sotta et al. (2007),10.1111/j.1365-2486.2007.01416.x,1,Forest,Drought,,,,,,,,
4257,Chou et al. (2008),10.1111/j.1365-2486.2008.01572.x,4,Grassland,Irrigation,,,,,,,,
4270,Davidson et al. (2008),10.1111/j.1365-2486.2008.01694.x,1,Forest,Drought,,,,,,,,
4412,Lellei-Kovacs et al. (2008),10.1556/ComEc.9.2008.1.4,4,Grassland,Drought,,,,,,,,
4549,Selmants et al. (2008),10.1111/j.1365-2664.2008.01460.x,2,Forest,Irrigation,,,,,,,,
4564,Sowerby et al. (2008),10.1111/j.1365-2486.2008.01643.x,2,Shrubland,Drought,,,,,,,,
4849,Garten et al. (2009),10.1007/s11104-008-9851-6,2,Grassland,Drought,,,,,,,,
4895,Inglima et al. (2009),10.1111/j.1365-2486.2008.01793.x,1,Forest,Irrigation,,,,,,,,
4895,Inglima et al. (2009),10.1111/j.1365-2486.2008.01793.x,1,Shrubland,Irrigation,,,,,,,,
4895,Inglima et al. (2009),10.1111/j.1365-2486.2008.01793.x,1,Grassland,Irrigation,,,,,,,,
5308,de Dato et al. (2010),10.1007/s11104-009-0041-y,3,Shrubland,Drought,,,,,,,,
5448,van Straaten et al. (2010),10.5194/bg-7-1223-2010,1,Forest,Drought,,,,,,,,
5536,Yan et al. (2010),10.1111/j.1365-2486.2009.02091.x,2,Grassland,Irrigation,,,,,,,,
5587,Misson et al. (2010),10.1111/j.1365-2486.2009.02121.x,2,Forest,Drought,,,,,,,,
6048,Yan et al. (2011),10.1111/j.1365-2486.2010.02365.x,2,Grassland,Irrigation,,,,,,,,
6112,Talmon et al. (2011),10.1111/j.1365-2486.2010.02285.x,2,Shrubland,Drought,,,,,,,,
6112,Talmon et al. (2011),10.1111/j.1365-2486.2010.02285.x,2,Shrubland,Irrigation,,,,,,,,
6166,Cotrufo et al. (2011),10.5194/bg-8-2729-2011,1,Forest,Drought,,,,,,,,
6166,Cotrufo et al. (2011),10.5194/bg-8-2729-2011,1,Forest,Irrigation,,,,,,,,
6168,Fay et al. (2011),10.5194/bg-8-3053-2011,13,Grassland,Drought,,,,,,,,
6185,Wu et al. (2011),10.1007/s11104-010-0548-2,2,Forest,Irrigation,,,,,,,,
6248,Carter et al. (2012),10.5194/bg-9-3739-2012,4,Shrubland,Drought,,,,,,,,
6272,Deng et al. (2012),10.1371/journal.pone.0041493,3,Forest,Irrigation,,,,,,,,
6299,Ford et al. (2012),10.1016/j.agrformet.2011.12.008,2,Savanna,Irrigation,,,,,,,,
6489,Ruehr et al. (2012),10.1016/j.agrformet.2012.05.015,1,Forest,Irrigation,,,,,,,,
6502,Schindlbacher et al. (2012),10.1111/j.1365-2486.2012.02696.x,3,Forest,Drought,,,,,,,,
6505,Selsted et al. (2012),10.1111/j.1365-2486.2011.02634.x,2,Shrubland,Drought,,,,,,,,
6540,Suseela et al. (2012),10.1111/j.1365-2486.2011.02516.x,1,Grassland,Drought,,,,,,,,
6540,Suseela et al. (2012),10.1111/j.1365-2486.2011.02516.x,1,Grassland,Irrigation,,,,,,,,
7046,Jia et al. (2013),10.1007/s11104-013-1771-4,2,Grassland,Irrigation,,,,,,,,
7048,Jiang et al. (2013),10.5194/bg-10-3963-2013,3,Forest,Drought,,,,,,,,
7048,Jiang et al. (2013),10.5194/bg-10-3963-2013,3,Forest,Irrigation,,,,,,,,
7115,Lai et al. (2013),10.1371/journal.pone.0077659,2,Shrubland,Irrigation,,,,,,,,
7436,Silva J̼nior et al. (2013),10.1590/S0102-77862013000100009,1,Forest,Drought,,,,,,,,
7593,Wang et al. (2013),NA,4,Grassland,Irrigation,,,,,,,,
8163,Jia et al. (2014),10.1007/s00374-014-0901-3,4,Grassland,Irrigation,,,,,,,,
8350,McDaniel et al. (2014),10.1007/s00442-013-2845-y,1,Grassland,Irrigation,,,,,,,,
8401,Hagedorn et al. (2014),10.1007/s10533-013-9881-x,3,Grassland,Drought,,,,,,,,
8509,Yan et al. (2014),10.1007/s11104-013-1944-1,6,Forest,Irrigation,,,,,,,,
8694,da Costa et al. (2014),10.1080/17550874.2013.798366,2,Forest,Drought,,,,,,,,
9324,Zhang et al. (2015),10.1007/s11104-015-2523-4,1,Forest,Drought,,,,,,,,
9557,Martins et al. (2015),10.1016/j.soilbio.2015.03.012,1,Forest,Irrigation,,,,,,,,
9649,Shen et al. (2015),10.1016/j.apsoil.2015.01.015,2,Grassland,Irrigation,,,,,,,,
10066,Dominguez et al. (2015),10.1007/s10533-014-0059-y,13,Shrubland,Drought,,,,,,,,
10104,Hinko-Najera et al. (2015),10.1016/j.agrformet.2014.09.013,2,Forest,Drought,,,,,,,,
10404,Reynolds et al. (2015),10.1111/gcb.12732,3,Grassland,Irrigation,,,,,,,,
11859,Escolar et al. (2015),10.1016/j.soilbio.2014.09.019,2,Grassland,Drought,,,,,,,,
11031,Chang et al. (2016),10.3390/f7110263,2,Forest,Drought,,,,,,,,
11064,Xu et al. (2016),10.1038/srep34801,8,Grassland,Irrigation,,,,,,,,
11078,Waring et al. (2016),10.1088/1748-9326/11/10/105005,2,Forest,Irrigation,,,,,,,,
11261,Hoover et al. (2016),10.1002/2015JG003256,3,Grassland,Drought,,,,,,,,
10483,Han et al. (2017),10.1002/ece3.3536,9,Grassland,Irrigation,,,,,,,,
10526,Lu et al. (2017),10.1038/s41598-017-15157-3,4,Forest,Drought,,,,,,,,
10816,Munir et al. (2017),10.3390/f8030075,2,Wetland,Drought,,,,,,,,
10878,Moinet et al. (2017),10.1016/j.scitotenv.2016.11.199,1,Grassland,Irrigation,,,,,,,,
13000,Ohashi et al. (2019),10.1007/s11104-018-03929-3,1,Grassland,Irrigation,,,,,,,,
13001,Rondina et al. (2019),10.1086/701353,1,Grassland,Irrigation,,,,,,,,
13004,Winkler et al. (2019),10.1007/s10533-019-00548-7,4,Desert,Irrigation,,,,,,,,
13007,Wang et al. (2019),10.1111/1365-2435.13256,2,Desert,Drought,,,,,,,,
13007,Wang et al. (2019),10.1111/1365-2435.13256,2,Desert,Irrigation,,,,,,,,
13008,Vinh et al. (2019),10.1016/j.atmosenv.2018.12.049,2,Forest,Drought,,,,,,,,
13008,Vinh et al. (2019),10.1016/j.atmosenv.2018.12.049,2,Forest,Irrigation,,,,,,,,
13009,Wang et al. (2019),10.1016/j.atmosenv.2018.12.032,1,Grassland,Irrigation,,,,,,,,
13015,Guan et al. (2019),10.1007/s11368-018-2171-4,3,Forest,Irrigation,,,,,,,,
13018,Andrade et al. (2019),10.1016/j.apgeochem.2019.02.006,8,Grassland,Irrigation,,,,,,,,
13022,de Nijs et al. (2019),10.1111/gcb.14508,3,Forest,Irrigation,,,,,,,,
13024,Zhou et al. (2019),10.1111/gcb.14533,1,Grassland,Drought,,,,,,,,
13024,Zhou et al. (2019),10.1111/gcb.14533,1,Grassland,Irrigation,,,,,,,,
13030,Leyva-Morales et al. (2019),10.1007/s00572-019-00880-8,1,Grassland,Drought,,,,,,,,
13030,Leyva-Morales et al. (2019),10.1007/s00572-019-00880-8,1,Grassland,Irrigation,,,,,,,,
13033,Tang et al. (2019),10.1016/j.scitotenv.2018.11.082,4,Grassland,Drought,,,,,,,,
13033,Tang et al. (2019),10.1016/j.scitotenv.2018.11.082,4,Grassland,Irrigation,,,,,,,,
13044,Spohn et al. (2019),10.1016/j.soilbio.2018.12.018,2,Desert,Irrigation,,,,,,,,
13072,Chen et al. (2019),10.1016/j.still.2018.11.007,4,Grassland,Drought,,,,,,,,
13072,Chen et al. (2019),10.1016/j.still.2018.11.007,4,Grassland,Irrigation,,,,,,,,
13079,Forde et al. (2019),10.1016/j.scitotenv.2018.10.217,10,Grassland,Drought,,,,,,,,
13079,Forde et al. (2019),10.1016/j.scitotenv.2018.10.217,10,Grassland,Irrigation,,,,,,,,
13079,Forde et al. (2019),10.1016/j.scitotenv.2018.10.217,5,Desert,Drought,,,,,,,,
13079,Forde et al. (2019),10.1016/j.scitotenv.2018.10.217,5,Desert,Irrigation,,,,,,,,
13094,Li et al. (2019),10.1016/j.foreco.2018.10.055,1,Forest,Drought,,,,,,,,
13096,Kriiska et al. (2019),10.1016/j.foreco.2018.11.026,1,Shrubland,Drought,,,,,,,,
13112,Jacotot et al. (2019),10.1016/j.scitotenv.2018.09.093,2,Grassland,Drought,,,,,,,,
13112,Jacotot et al. (2019),10.1016/j.scitotenv.2018.09.093,2,Grassland,Irrigation,,,,,,,,
13189,Reddy et al. (2019),10.1016/j.catena.2018.08.036,4,Grassland,Drought,,,,,,,,
13193,Arora et al. (2019),10.1016/j.scitotenv.2018.08.251,2,Forest,Drought,,,,,,,,
13242,Mohamed et al. (2019),10.4067/S0717-92002019000200163,1,Savanna,Drought,,,,,,,,
13242,Mohamed et al. (2019),10.4067/S0717-92002019000200163,1,Savanna,Irrigation,,,,,,,,