Study_number,Record_number,N,Percent_control,SM_mean,SM_sd,Author,Study_midyear,Year,Latitude,Ecosystem_type,Manipulation,Manipulation_level,Meas_method,Soil_type,Soil_drainage,Elevation,Quality_flag,Variable,Manip_Resp,Manip_SD,Control_Resp,Control_SD
6168,4617,6,70,NA,NA,Fay,1999,2,39.08333333,Grassland,Drought,"Altered timing, 70% precip",IRGA,Silty clay loam,Dry,NA,Q01,Rs_growingseason,6.2,0.122474487,6.3,0.244948974
6168,4617,6,70,NA,NA,Fay,1999,2,39.08333333,Grassland,Drought,"Altered timing, 70% precip",IRGA,Silty clay loam,Dry,NA,Q01,Rs_growingseason,6.2,0.122474487,6.3,0.244948974
6168,4618,6,70,NA,NA,Fay,2000,3,39.08333333,Grassland,Drought,"Altered timing, 70% precip",IRGA,Silty clay loam,Dry,NA,Q01,Rs_growingseason,7,0.489897949,9,1.469693846
6168,4618,6,70,NA,NA,Fay,2000,3,39.08333333,Grassland,Drought,"Altered timing, 70% precip",IRGA,Silty clay loam,Dry,NA,Q01,Rs_growingseason,7,0.489897949,9,0.489897949
6168,4618,6,70,NA,NA,Fay,2000,3,39.08333333,Grassland,Drought,"Altered timing, 70% precip",IRGA,Silty clay loam,Dry,NA,Q01,Rs_growingseason,7,0.489897949,7.2,1.469693846
6168,4618,6,70,NA,NA,Fay,2000,3,39.08333333,Grassland,Drought,"Altered timing, 70% precip",IRGA,Silty clay loam,Dry,NA,Q01,Rs_growingseason,7,0.489897949,7.2,0.489897949
6168,4619,6,70,NA,NA,Fay,2001,4,39.08333333,Grassland,Drought,"Altered timing, 70% precip",IRGA,Silty clay loam,Dry,NA,Q01,Rs_growingseason,7.9,0.979795897,9.9,0.612372436
6168,4619,6,70,NA,NA,Fay,2001,4,39.08333333,Grassland,Drought,"Altered timing, 70% precip",IRGA,Silty clay loam,Dry,NA,Q01,Rs_growingseason,7.9,0.979795897,9.9,0.367423461
6168,4619,6,70,NA,NA,Fay,2001,4,39.08333333,Grassland,Drought,"Altered timing, 70% precip",IRGA,Silty clay loam,Dry,NA,Q01,Rs_growingseason,7.9,0.979795897,9.3,0.612372436
6168,4619,6,70,NA,NA,Fay,2001,4,39.08333333,Grassland,Drought,"Altered timing, 70% precip",IRGA,Silty clay loam,Dry,NA,Q01,Rs_growingseason,7.9,0.979795897,9.3,0.367423461
6185,4394,3,120,NA,NA,Wu,2004,1,42.88333333,Forest,Irrigation,,IRGA,Sandy loam,Dry,NA,Q01,Rs_growingseason,4.45,0.92,4.52,1.12
6185,4396,3,120,NA,NA,Wu,2005,2,42.88333333,Forest,Irrigation,,IRGA,Sandy loam,Dry,NA,Q01,Rs_growingseason,5.13,1.31,5.93,1.35
6248,4767,3,83.64174685,0.36,NA,Carter,2006.5,5,53.05,Shrubland,Drought,,IRGA,Peaty podzol,Wet,490,,Rs_annual,633,20.78460969,518,55.42562584
6248,4770,3,84.28143713,0.15,NA,Carter,2003.5,4,56.38333333,Shrubland,Drought,,IRGA,Sandy podzol,Dry,57,,Rs_annual,513,31.17691454,732,62.35382907
6248,4776,3,80.32454361,0.17,NA,Carter,1999,1,52.4,Shrubland,Drought,,IRGA,Sandy podzol,Dry,25,,Rs_annual,285,124.7076581,310,83.13843876
6248,4779,3,72.18181818,0.17,NA,Carter,2007.5,6,41.31666667,Shrubland,Drought,,IRGA,Petrocalcic calcisol,Dry,210,,Rs_annual,298,32.90896534,390,51.96152423
6272,4794,3,200,0.21,0.01,Deng,2007,1,23.17,Forest,Irrigation,2x precip,IRGA,,Dry,250,,Rs_annual,961,41.61811024,833,41.65
6272,4795,3,200,0.31,0.01,Deng,2008,2,23.17,Forest,Irrigation,2x precip,IRGA,,Dry,260,,Rs_annual,1230,45.41538462,1150,49.17763158
6272,4796,3,200,0.3,0.01,Deng,2009,3,23.17,Forest,Irrigation,2x precip,IRGA,,Dry,260,,Rs_annual,1166,41.64285714,1158,49.19607843
6502,5090,3,0,0.45,NA,Schindlbacher,2008,1,47.70555556,Forest,Drought,,IRGA,Chromic Cambisols and Rendzic Leptosols,Dry,910,,Rs_growingseason,2.731,0.329269034,3.311,0.787132188
6502,5091,3,0,0.4,NA,Schindlbacher,2009,2,47.70555556,Forest,Drought,,IRGA,Chromic Cambisols and Rendzic Leptosols,Dry,910,,Rs_growingseason,2.802,0.254594432,3.495,0.668193793
6502,5092,3,0,0.4,NA,Schindlbacher,2010,3,47.70555556,Forest,Drought,,IRGA,Chromic Cambisols and Rendzic Leptosols,Dry,910,,Rs_growingseason,2.688,0.415824791,2.924,0.891117284
6505,5059,6,92,NA,NA,Selsted,2006,1,55.88333333,Shrubland,Drought,,IRGA,Sand,Dry,NA,,Rs_annual,609,28,672,28
6505,5066,6,92,NA,NA,Selsted,2007,2,55.88333333,Shrubland,Drought,,IRGA,Sand,Dry,NA,,Rs_annual,777,30,719,30
7593,6475,24,110,0.06,0.014696938,Wang,2010.5,1,42.91666667,Grassland,Irrigation,Winter,IRGA,Sandy,Dry,360,Q01,Rs_growingseason,2.9,0.489897949,3,0.489897949
7593,6475,24,110,0.06,0.014696938,Wang,2010.5,1,42.91666667,Grassland,Irrigation,Winter,IRGA,Sandy,Dry,360,Q01,Rs_growingseason,2.9,0.489897949,3,0.489897949
7593,6475,24,110,0.06,0.014696938,Wang,2010.5,1,42.91666667,Grassland,Irrigation,Winter,IRGA,Sandy,Dry,360,Q01,Rs_growingseason,2.9,0.489897949,2.8,0.489897949
7593,6475,24,110,0.06,0.014696938,Wang,2010.5,1,42.91666667,Grassland,Irrigation,Winter,IRGA,Sandy,Dry,360,Q01,Rs_growingseason,2.9,0.489897949,2.8,0.489897949
7593,6476,24,110,0.08,0.014696938,Wang,2010.5,1,42.91666667,Grassland,Irrigation,Summer,IRGA,Sandy,Dry,360,Q01,Rs_growingseason,3.4,0.489897949,3,0.489897949
7593,6476,24,110,0.08,0.014696938,Wang,2010.5,1,42.91666667,Grassland,Irrigation,Summer,IRGA,Sandy,Dry,360,Q01,Rs_growingseason,3.4,0.489897949,3,0.489897949
7593,6476,24,110,0.08,0.014696938,Wang,2010.5,1,42.91666667,Grassland,Irrigation,Summer,IRGA,Sandy,Dry,360,Q01,Rs_growingseason,3.4,0.489897949,2.8,0.489897949
7593,6476,24,110,0.08,0.014696938,Wang,2010.5,1,42.91666667,Grassland,Irrigation,Summer,IRGA,Sandy,Dry,360,Q01,Rs_growingseason,3.4,0.489897949,2.8,0.489897949
7593,6478,24,110,0.05,0.009797959,Wang,2011.5,2,42.91666667,Grassland,Irrigation,Winter,IRGA,Sandy,Dry,360,Q01,Rs_growingseason,2.5,0.489897949,2.55,0.489897949
7593,6478,24,110,0.05,0.009797959,Wang,2011.5,2,42.91666667,Grassland,Irrigation,Winter,IRGA,Sandy,Dry,360,Q01,Rs_growingseason,2.5,0.489897949,2.55,0.489897949
7593,6478,24,110,0.05,0.009797959,Wang,2011.5,2,42.91666667,Grassland,Irrigation,Winter,IRGA,Sandy,Dry,360,Q01,Rs_growingseason,2.5,0.489897949,2.2,0.489897949
7593,6478,24,110,0.05,0.009797959,Wang,2011.5,2,42.91666667,Grassland,Irrigation,Winter,IRGA,Sandy,Dry,360,Q01,Rs_growingseason,2.5,0.489897949,2.2,0.489897949
7593,6479,24,110,0.06,0.009797959,Wang,2011.5,2,42.91666667,Grassland,Irrigation,Summer,IRGA,Sandy,Dry,360,Q01,Rs_growingseason,2.8,0.489897949,2.55,0.489897949
7593,6479,24,110,0.06,0.009797959,Wang,2011.5,2,42.91666667,Grassland,Irrigation,Summer,IRGA,Sandy,Dry,360,Q01,Rs_growingseason,2.8,0.489897949,2.55,0.489897949
7593,6479,24,110,0.06,0.009797959,Wang,2011.5,2,42.91666667,Grassland,Irrigation,Summer,IRGA,Sandy,Dry,360,Q01,Rs_growingseason,2.8,0.489897949,2.2,0.489897949
7593,6479,24,110,0.06,0.009797959,Wang,2011.5,2,42.91666667,Grassland,Irrigation,Summer,IRGA,Sandy,Dry,360,Q01,Rs_growingseason,2.8,0.489897949,2.2,0.489897949
10066,6195,3,79,NA,NA,Domínguez,2000.5,1,53.05527778,Shrubland,Drought,-21% rain,IRGA,Ferric stagnopodzols,Dry,490,,Rs_annual,772.9,95.26279442,904.4,17.32050808
10066,6198,3,79,NA,NA,Domínguez,2001.5,2,53.05527778,Shrubland,Drought,-21% rain,IRGA,Ferric stagnopodzols,Dry,490,,Rs_annual,839.9,20.78460969,680.6,12.12435565
10066,6201,3,79,NA,NA,Domínguez,2002.5,3,53.05527778,Shrubland,Drought,-21% rain,IRGA,Ferric stagnopodzols,Dry,490,,Rs_annual,617.9,6.92820323,539.6,15.58845727
10066,6204,3,79,NA,NA,Domínguez,2003.5,4,53.05527778,Shrubland,Drought,-21% rain,IRGA,Ferric stagnopodzols,Dry,490,,Rs_annual,663.1,6.92820323,566.8,34.64101615
10066,6207,3,79,NA,NA,Domínguez,2004.5,5,53.05527778,Shrubland,Drought,-21% rain,IRGA,Ferric stagnopodzols,Dry,490,,Rs_annual,597.8,15.58845727,416,3.464101615
10066,6210,3,79,NA,NA,Domínguez,2005.5,6,53.05527778,Shrubland,Drought,-21% rain,IRGA,Ferric stagnopodzols,Dry,490,,Rs_annual,560.2,10.39230485,459,6.92820323
10066,6213,3,79,NA,NA,Domínguez,2006.5,7,53.05527778,Shrubland,Drought,-21% rain,IRGA,Ferric stagnopodzols,Dry,490,,Rs_annual,563.8,5.196152423,555.4,5.196152423
10066,6216,3,79,NA,NA,Domínguez,2007.5,8,53.05527778,Shrubland,Drought,-21% rain,IRGA,Ferric stagnopodzols,Dry,490,,Rs_annual,601.9,1.732050808,506.6,10.39230485
10066,6219,3,79,NA,NA,Domínguez,2008.5,9,53.05527778,Shrubland,Drought,-21% rain,IRGA,Ferric stagnopodzols,Dry,490,,Rs_annual,393.9,6.92820323,354.9,8.660254038
10066,6222,3,79,NA,NA,Domínguez,2009.5,10,53.05527778,Shrubland,Drought,-21% rain,IRGA,Ferric stagnopodzols,Dry,490,,Rs_annual,448.3,1.732050808,396.1,8.660254038
10066,6225,3,79,NA,NA,Domínguez,2010.5,11,53.05527778,Shrubland,Drought,-21% rain,IRGA,Ferric stagnopodzols,Dry,490,,Rs_annual,345.6,1.732050808,267.6,3.464101615
10066,6228,3,79,NA,NA,Domínguez,2011.5,12,53.05527778,Shrubland,Drought,-21% rain,IRGA,Ferric stagnopodzols,Dry,490,,Rs_annual,427.5,6.92820323,279.3,3.464101615
10066,6231,3,79,NA,NA,Domínguez,2012.5,13,53.05527778,Shrubland,Drought,-21% rain,IRGA,Ferric stagnopodzols,Dry,490,,Rs_annual,515.8,17.32050808,343.1,25.98076211
10483,6830,4,130,0.12,NA,Han,2005.5,1,42.18,Grassland,Irrigation,30%,IRGA,Haplic calcisols,Dry,1324,Q01,Rs_annual,851,26.5,833,30.29
10483,6834,4,130,0.14,NA,Han,2006.5,2,42.18,Grassland,Irrigation,30%,IRGA,Haplic calcisols,Dry,1324,Q01,Rs_annual,1041,34.07,908,41.64
10483,6838,4,130,0.11,NA,Han,2007.5,3,42.18,Grassland,Irrigation,30%,IRGA,Haplic calcisols,Dry,1324,Q01,Rs_annual,814,28.39,587,37.85
10483,6842,4,130,0.14,NA,Han,2008.5,4,42.18,Grassland,Irrigation,30%,IRGA,Haplic calcisols,Dry,1324,Q01,Rs_annual,1060,56.78,870,37.47
10483,6846,4,130,0.09,NA,Han,2009.5,5,42.18,Grassland,Irrigation,30%,IRGA,Haplic calcisols,Dry,1324,Q01,Rs_annual,833,47.32,596,15.14
10483,6850,4,130,0.07,NA,Han,2010.5,6,42.18,Grassland,Irrigation,30%,IRGA,Haplic calcisols,Dry,1324,Q01,Rs_annual,984,33.69,605,3.79
10483,6854,4,130,0.13,NA,Han,2011.5,7,42.18,Grassland,Irrigation,30%,IRGA,Haplic calcisols,Dry,1324,Q01,Rs_annual,1022,35.96,719,32.18
10483,6858,4,130,0.08,NA,Han,2012.5,8,42.18,Grassland,Irrigation,30%,IRGA,Haplic calcisols,Dry,1324,Q01,Rs_annual,530,31.42,473,9.46
10483,6862,4,130,0.14,NA,Han,2013.5,9,42.18,Grassland,Irrigation,30%,IRGA,Haplic calcisols,Dry,1324,Q01,Rs_annual,1135,60.57,889,32.55
10526,9107,3,68,NA,NA,Lu,2014.5,1,31.965,Forest,Drought,32% of annual Precipitation excluded,IRGA,Haplic luvisol,Dry,1400,,Rh_annual,417,39,388,16
10526,9107,3,68,NA,NA,Lu,2014.5,1,31.965,Forest,Drought,32% of annual Precipitation excluded,IRGA,Haplic luvisol,Dry,1400,,Rs_annual,567,43,497,22
10526,9109,3,74,NA,NA,Lu,2015.5,2,31.965,Forest,Drought,26% of annual Precipitation excluded,IRGA,Haplic luvisol,Dry,1400,,Rh_annual,489,50,506,29
10526,9109,3,74,NA,NA,Lu,2015.5,2,31.965,Forest,Drought,26% of annual Precipitation excluded,IRGA,Haplic luvisol,Dry,1400,,Rs_annual,576,64,603,21
11064,7867,4,115,NA,NA,Xu,2011.5,1,42.033,Grassland,Irrigation,plus 15% precipitation,IRGA,Calcis-orthic Aridisol,Dry,1324,Q01,Rs_growingseason,4.84,0.2,4.4,0.1
11064,7868,4,130,NA,NA,Xu,2011.5,1,42.033,Grassland,Irrigation,plus 30% precipitation,IRGA,Calcis-orthic Aridisol,Dry,1324,Q01,Rs_growingseason,5.1,0.4,4.4,0.1
11064,7873,4,115,NA,NA,Xu,2011.5,1,42.033,Grassland,Irrigation,plus 15% precipitation,IRGA,Chestnut soil,Dry,1324,Q01,Rs_growingseason,0.4,0.06,0.38,0.04
11064,7874,4,130,NA,NA,Xu,2011.5,1,42.033,Grassland,Irrigation,plus 30% precipitation,IRGA,Chestnut soil,Dry,1324,Q01,Rs_growingseason,0.46,0.01,0.38,0.04
11064,7879,4,115,NA,NA,Xu,2012.5,2,42.033,Grassland,Irrigation,plus 15% precipitation,IRGA,Calcis-orthic Aridisol,Dry,1324,Q01,Rs_growingseason,4.5,0.3,3.7,0.02
11064,7880,4,130,NA,NA,Xu,2012.5,2,42.033,Grassland,Irrigation,plus 30% precipitation,IRGA,Calcis-orthic Aridisol,Dry,1324,Q01,Rs_growingseason,4.7,0.36,3.7,0.02
11064,7885,4,115,NA,NA,Xu,2012.5,2,42.033,Grassland,Irrigation,plus 15% precipitation,IRGA,Chestnut soil,Dry,1324,Q01,Rs_growingseason,1.48,0.04,1.23,0.04
11064,7886,4,130,NA,NA,Xu,2012.5,2,42.033,Grassland,Irrigation,plus 30% precipitation,IRGA,Chestnut soil,Dry,1324,Q01,Rs_growingseason,1.49,0.002,1.23,0.04
11261,8487,2,34,0.17,0.01,Hoover,2010,1,39.08,Grassland,Drought,,IRGA,Typic Argiustoll,Dry,NA,,Rs_growingseason,7.9,0.1,10.25,0.25
11261,8489,2,34,0.11,0.005,Hoover,2011,2,39.08,Grassland,Drought,,IRGA,Typic Argiustoll,Dry,NA,,Rs_growingseason,7.25,0.5,9.75,0.15
11261,8491,2,34,0.18,0.01,Hoover,2012,3,39.08,Grassland,Drought,,IRGA,Typic Argiustoll,Dry,NA,,Rs_growingseason,8.15,0.1,7.75,0.05
